tweet,sentiment
"bardzo dobry robota . jednak trochę denerwować PIS wypadać zbyt dobrze , połowa jeździć ministerialny limuzyna , co kosztować znacznie kilometrówka zwykły poseł . . . .",negative
Zmywalny farba pis wiedzieć kupić .,neutral
opcja targowicki zapowiadać pseudo prawny lincz obecnie rządzić ekipa podniesieć Polska upadek rząda T …,neutral
"Krystyna Sibińska PO oryginalny wypunktować wojewoda PiS , przypisać budowa droga rząd Mateusz Morawi …",neutral
"od tamto konsekwentnie mówić być model czeski , 2 silny blok opozycja dadzić możliwość odsunięcia PiS …",neutral
"jak nazwać człowiek popierać PiS SP , kłamliwy władza niszczącą prawo , demokracja własny państwo ? to naród ?",negative
„ stopień ignorancja hierarch przerażający . to sięgać dna ” . o Gużyński polski # Kościele ograny # PiS …,negative
""" Tusk wątpliwość , fatalny sytuacja rolnictwo "" upiorny skrzyżować niekompetencja pazerność "" rząd Pi …",negative
"Obywatel , wyborco PiS , widzu TVP ! czy wiedzieć już , 2,7 miliard złoty przeznaczyć kłamstwo TVP pochodzić obl …",negative
"niech poseł Kowalski cały rząd trzymać łapa precz pieniądz milion podatnik , ciężko wypracowować …",negative
"Jesienne wybory uczciwy , PiS sfałszować , musieć jesień gotowy wielki akcj …",neutral
"Szydło niedawno powiedzieć : "" Kolejny kadencja PiS pozwolić dokończyć zmiana Polska , uczynić niemożliwy cofnąć "" …",neutral
PiS potrafić zohydzić . on musieć działać rzecz ruski .,negative
"czas trwać wystąpienie przedstawiciel partia polityczny TVP III kwartał 2022 , miesięcznie : PiS 48 70 godzina …",neutral
"PiS przegrywać , oblewać farba pomnik byleby zwrócić siebie uwaga . T . wiejski",neutral
nie wiedzieć wiedzieć chłop najwiecej postkomunista SB - ków PiS ! ! tak margines być być czas poprzedni rocznica JP2 - kłamcy hipokryt ! # Kaczastrof,negative
"wspólny start ? KO - 2050 - PSL 46,1 , PiS 27,5 procent . [ SONDAŻ ] # SilniRaz # wieszwiecej",neutral
"droga pis ie ! czy wiedzieć , kasa KPO słynny 770 miliard 1/3 finansować Niemiec ? Krzyczycie repara …",negative
"posłuchać przywódca , w jedyny nadzieja , aby doprowadzić nasz pomoc upadek banda PiS , by Atakowa …",neutral
socjalny PIS generalnie realizować program libek tnieć podatek ograniczać deficyt oszczędzać usługa publiczny Natom …,neutral
"należeć przesłać Joe Biden Polska ' pięknie "" socjalistyczny partia PIS budować autostr …",neutral
Widzieć Niemiec . Kaczyński Morawiecki trafić więzienie # PiS&amp;lt;NigdywięcejPiS # silniRaze …,neutral
"ZjeP ( PiS , Ziobro ) obrona własny „ stołek ” las Rekordowe osiągnięcie : rabunkowy gospodarka leśny , rocznie wyc …",neutral
"zaraz PiS rzucić czyszczenie pomnik ! moi dziadkowie opowiadać , komuna UB organizować podobny prowokacja !",negative
czy Polak chcieć UKRPOLU ? zelensky Polska ! Skrajny lewica szykować kolejny atak JPII . Morawiecki PiS zwiększać defi …,negative
ponieważ PiS doprowadzić # Kaczastrofa # OpozycjaWygra,negative
"Wyborców PiS grupa poziom 30 % , pozostały 70 % , grupa człowiek ceniąca fakt samodzielny myślenie .",neutral
jeżeli dadzą rada PiS stracić mnóstwo głosow wieś,negative
Podlasie . ponad 20 osoba przecinać wstęga otwarciu dwa kilometr droga . w minister poseł PiS # Kaczastrofo https://t …,neutral
"i mówić ? Zwykła popierdółka , państwo PiS , kaczyzm swobodnie bredzić TT nikt aresztować .",negative
,positive
"strasznie PiS upodlić obniżać uBecką Emeryturka . Wyczekuję powrót PO władza wyrównanie obniżyć świadczenie . Uzbiera Milon złoty . a należeć się , myśleć pan łatwo denuncjować rodzina , znajomy , udawać przyjaciel niszczić życie ?",negative
"w 12 dzień uzbierać być 100 tysiąc . złoty Kampania prawda . Boli wszystko , robić # PiS . mieć pretensja , czuć ogrom …",neutral
". - Jesienne wybory uczciwy , PiS sfałszować , musieć jesień gotowy …",neutral
""" policja zacząć nachodzić rolnik dom "" - stwierdzić media M . Kołodziejczak . "" to zbierać haek "" - ocenić . N …",negative
"Beata Szydło : "" Kolejny kadencja PiS pozwolić dokończyć zmiana Polska , uczynić niemożliwy cofnąć "" . ten zdanie …",neutral
problem PiS PO medialny marginalizacja osoba intelektualnie suwerenny . zalew banał nijakość otwierać prze …,negative
"tylko yebnie , podniesiemy dekada . za długo czas poświęcić wywalczyć wolność ( tylko J . Kaczyński spać ) , oddać PiS walka .",neutral
niech żyć PIS . niech żyć . niech żyć .,positive
"idz , na zdrowie sekta polityczny typ PO , PiS interesuja",neutral
"myśleć , Jan Paweł II być by ostatni osoba , nawoływać marsz . przykry , PiS wykorzystywać papi …",negative
"PiS Balcerowicz ośmieszyć , doprowadzić pomieszanie zmysł",negative
luz . nie platforma . byle PiS konfederacja . pozdrawiać życzyć trafny wybór !,neutral
"Partia opozycyjny powód partykularny interes mikrolider zatracić elementarny instynkt samozachowawczy , a kanalia …",negative
pisowski kurwa wycierać bezczelny morda Jan Paweł . on PiS . dzisiaj występować by przeciwko przestępca skurwysyn władza .,negative
"Napieprzając oślep # JP2 , katolik , # KK , robić wszystko , doprowadzić 3 kadencja rząd # PiS . to woda metr …",negative
nie Pejo zięć król Korwin dawny Świdnik współrządzi PiS .,negative
"premier M . Morawiecki zapowiedzieć kolejny PiSowski zmiana system podatkowy . jak skończyć ostatnio Nowy Ład , pamiętać . PiS najdalej gospodarka ! # Wolnościowca",neutral
"pani Alicja , pełny zgoda . kolejny kadencja PiS cofnięcie cywilizacyjny Polska 50 rok . i …",neutral
a szkolić pis pogonić,negative
"wprawdzie właściciel twierdzić , atak papież służą PiS , pracownik inny …",negative
Najgorsze Środa PiS zdążyć obiecać rolnik,negative
"oczywiście , Polska potencjał . ale PiS .",neutral
"PiS przegrywać , miotać groteskowy narracja desperacja zaczynać oblewać pomnik urywać lusterkum samochód …",negative
Pogłębiający konflikt rząd PiS unia europejski ( w członkostwo popierać 80 90 procent . Poleka Polak …,neutral
oglądać Fakt słuchać być rolnik . i móc zrozumieć chodzić głosować PiS .więc mieć …,neutral
"cały świat zachłysnąć łupka . potem okazać się , że opłacalny myślać . ale Polska …",neutral
"o uczciwy wybory móc zapomnieć Ziobro podmieniać komisarz wyborczy swój nominat . na 100 komisarz , nowy będ …",neutral
a tymczasem świąteczny wydanie Newsweek rozmowa Rozmawiamy wartość - sprawiedliwo …,neutral
prezentacja pamięć PiS SP .,neutral
"zadać być respondent pytanie to , zdanie wygrać bliski wybory parlamentarny . poniżej przedstawiać odpo …",neutral
czy Polak chcieć UKRPOLU ? zelensky Polska ! Skrajny lewica szykować kolejny atak JPII . Morawiecki PiS zwiększać deficyt budżetowy . Donejty żywo ! prowadzić Start program godzina . 20:00 . Link :,negative
"PiS szykować sfałszować wybory . jeżeli zrobić , wyjść ulica przepędzić . a się …",negative
"lewica pomagać drobny przedsiębiorca , nienawidzić , PiS uprościć podatek , komplikować wielk …",negative
to sam PiS zobaczyć dzień wybory,negative
prezes NBP - Adam Glapiński zarobić : - 2019r . - 794 . 771 złoty brutto - 2022r . - 1 . 317 . 379 złoty brutto w 4 rok j …,neutral
"Lis pierdolić , to PIS organizować marsze , jeśli jesteście przeciw społeczeństwo , co oczekujecie",negative
"Michał Szczerba , poseł koalicja obywatelski , poseł PO , współautor książka "" wielki żniwa . jak PiS ukraść Polska "" będzić …",neutral
"Ziobro PiS obrona własny „ stołek ” las . rekordowy osiągnięcie : -rabunkowy gospodarka leśny , rocznie wycinać około …",neutral
"do PiS ? i skończyć być podstawówka ? a posłać Miller Cimoszewicz PE ? grzesiu Schety , , , , ? Dokończ .",neutral
"burmistrz Brzeg PIS zrobić sesja chory bielik . on urzędnik znaleźć ptak 13 . 05 , weterynarz powiad …",neutral
"nie mówić , PO zniknąć scena , zniknąć "" PO "" rozumiać tłusty kot rozsiadłe fotel sejmowy , przekonany …",negative
PiS wykończyć polski rolnictwo .,positive
"Jaki podatek ? no chyba rozmawiać Wasz cichy koalicjant , Donaldzie . tu fakt , Donald podnieść podatek . rząd PIS obniżyć .",negative
od zobowiązować zaprzestać krytykować partia opozycyjny ( nie dotyczyć konfederacja ) . ufamć,negative
"program PiS 2014 rok : "" wiele działanie nastawić zdecydowany skrócyć czas trwać postępowanie sądo …",neutral
"Ej No chcecie powiedzieć PiS pompować konfederacja swój przybudówka ? wow no szok , Lis mądry głowa strona Peło powiedziać koń trojański ! ! !",negative
"niemiecky prasa grozić Jarosław Kaczyński więzienie Berliner Zeitung : sugerować , przegrać wybory PIS „ si …",negative
"wspólny start dawać opozycja 243 miejsce Sejmie , 18 dodatkowy mandat koszt PiS i …",neutral
Siekierezad PiS skończyć .,neutral
1 maj 2004 pamiętać radość wejść do . dwa rok późno pakować być plecak studia Francja ramach program E …,positive
"to być by totalny granda , PIS głosować ( ustawa 2016r )",negative
"polityk PO bać mówić wprost to , # POgarda patrzeć zwykły człowiek . „ Autorytety medialny ” jednak …",negative
"15 luty zamieścić TikTok pierwszy nagranie pod tytułem . "" PiS wchodzić tikToka - być Wy opowiadać , jaki …",neutral
"czy # PiS wepchnąć wojna naród móc osądzać wieszać zdrajca tryb doraźny , wojenny … ? — jakby bra …",negative
ale Polak dokonać swój wybór poniżać każdy krok wyborca PiS,negative
produkt kosztować 5 złoty w 2022 cena wzrosnąć 5 złoty czyli 100 % w 2023 cena wzrosnąć 5 złoty to 50 % tak PI …,neutral
czy poprosić NASA wysłać PiS księżyc ?,neutral
glupos but . 30 rok bylem kosciele glosować PiS,negative
nie głosować PiS !,negative
oligarchia PiS doi Polak ! ! ! # DrożyznaPiS wykończyć,negative
olać Tusk olać pis dziadek drugi dziadek,neutral
"to Tusk zasłużyć Polska tak , musieć ukraść pieniądz OFE zbliżać konstytucyjny próg . . . pederaść cały lgbt zagrożenie prawo kobieta PiS . . . PiS naprawdę konserwować układ , poczekaj konfa . . . strać , strać się . . .",negative
zamiast mieć : -kłótnie kształt list -kpinya lider lider -nienawiść jeden elektorat drugi -dart …,negative
"to co , wzywać dokopać ? to najpierw kopnąć PIS , ruszać ? # POzwyciestwoPIS",negative
tylko PiS I patriot pokonać zło Kraju,neutral
mieć pan myśleć klub milioner PiS ?,neutral
bandziorno Rebelio ! po wczorajszy szoł ruski PIS - Dżej Pi tu postanowić odnowić oblicze ziemia do …,neutral
tymczasem portal temat dzień 8 autorytarny rząd PiS - groźba koalicja platforma Men …,neutral
"dodać "" Franciszkańską 3 "" - efekt widać sondażachy ulica . jeśli Holland robić tAKI film planować premiera wybory , wiedzieć , sądzić . czy pożyteczny idiota ? a PiS pani Holland Pegasusem szantażować ?",negative
"wy sam opilowaliscie , zamiast dobro brud ciągle sączycie gardząc inny człowiek . PiS być , jutro pan krzyczal",neutral
"tak . obecnie nazywać "" rodzina PIS swoim+ """,neutral
PiS odebrać większość Polonia konstytucyjny prawo udział wybory kilka nowy przepis : brak metoda korespondency …,neutral
ja Tusk gorąco kibicować pozostać swój dotychczasowy rola . nikt mobilizować wyborca PiS Tusk . Tusk …,neutral
"pizd napisaniu weekend 159473 tweet JP2 , PiS , Jarosław Kaczyński , prawica , kościół , etc . …",neutral
"poseł PO ujawnić , ofiara pedofil dziecko posłanka PO . dziennikarka TVP próbować uciszyć . wszystek media kraj powtarzać poseł PO powiedzieć . no ewidentnie wina TVP , PiS wszsytki Kaczyński ! via",negative
a PiS oszukać . nigdy wierzyć być słowo .,negative
"żenujący chłystku być . co prezentujeć wyszczekanie robieć zadyma . Popierałeś PIS mądrzejsi Ciebie wiedzieć co skończyć , pouczajyć krytykuj , mieć co chcieć być .",negative
"PiS odnieść niezaprzeczalny sukces . szczujnia wmówić prosty człowiek , DT , KO , wybork źl można …",positive
"wynik sondaż zaskakować : nikt , niemal dosłownie nikt wierzyć , "" wiadomość "" TV …",positive
""" - ja zapytać Donald Tusk , potrafić wymienić 10 Przykazań Bożych "" — mówić marszałek Witek . wystarczyć ,",neutral
"u matka zacząć jebać pis chyba zagłosować 2015 , skończyć być 18 rok , 500 + załapać zacząć xD",negative
"PiS zrobić wiele , osłabić autorytet JPII . do wybory zniszczyć całkowicie , co tkną .",negative
"strach pomyśleć jaki inflacja 2023 rok , skoro Glapiński przyznawać podwyżka powyżej inflacja . # piSInflacja interes Glapiński , Morawiecki ( obligacja ) rząd PiS ( wielki wpływ budżet ) . # Kaczastrof",negative
"Jarosław Kaczyński wziąć udział koncert "" nie zastąpić Ciebie nikt "" Wadowicach . wraz Beata Szydło wa …",neutral
". ostatnio wysypać powiedzieć , 3 . kadencja chodzić to , wprowadzać PiS zmia …",negative
"zarobić kolesi PiS , zwykle . . .",neutral
"to dzięki rolnik PiS , większość rolnik głosować on , ter szukać winny ? ? ?",negative
i wyjść pis worek . . . więc jeb pisowski potworek,negative
"szef PiS Jarosław Kaczyński , premier Mateusz Morawiecki niektóry minister musieć obawiać więzienie – twierdzić …",negative
"w 2016 telefon zaufanie musieć zasponsorować piłkarz , PiS odmówić opłacić tysiąc , działać . w 2017 kolejny rok , składać człowiek , chociaż RPD , budżet wzrosnąć 50 % . być dno wasz bezczelność ?",negative
a pokaż pis normalny,neutral
"nie wiadomo , osoba związać # PiS problem matematyka . przykład ? - CPK - przekop Mierzei wiślany - …",neutral
PiS level of takt dobry wychowanie,positive
Vel Sęk chłop być opóźniyć sukces ? . jak PiS bierzecie kasa swój beznadziejny durny polityka gospodarczy europejski . swój inteligencja nadążać inflacja . PiS patologia szaber ! !,negative
"żeby jasność , co mój skromny osoba . nie zależeć liczba , który pokazywać osoba obserwować . co i …",neutral
w TVP nachalny propaganda PiS w TVN nachalny propaganda PO,negative
"dzisiaj , aparat władza , nowy ustawa , zmiana kodeks wyborczy , propaganda , wyciszać afera PiS …",negative
"ciekawy być , czy głosować PiS , konkretny powiedzieć ! ! ? myślicie , odpowiedzić prosty pytanie ! ! ? może 500+,bęść odpowiedzią!?Rekordowy inflacja , wysoki emerytura , zabójczy cena ! ! ? co Qrwa ! ! ? dobrze kolano różaniec zapierdalać PiSem ! !",negative
"poniższy reklama przeznaczyć człowiek silny nerwach . być dowód to , gangrena antypolonizm …",negative
"czy okazja rocznica katastrofa smoleński PiS rozdawać pasażer samolot LOT miniaturka wrak Tupolewo , …",negative
"Ej banderowski pachołek wincyj zatrutego zboże GMO banderland sprowadzić ! ten "" zboże "" nie dawać zw …",negative
"podobać troska skrzywdzyć ... pewnie Biskupi polityk PiS poszli on , mile widziać dom PO",neutral
"po siedem rok rząd PiS być naprawdę niczym wolny gotować żaba . już mniej rzecz dziwić , zas …",negative
"ale wykluczać drugi , PiS podpisać Unia wymyślić kazać wdrożyć , Moskwa wymyślić podpisać sam , człowiek naprawdę jesteście taki głupi?,czy zaślepiić ?",negative
Dude pis wspierales PO rzucać ! z faszyst miziać ty k …,negative
"czy # PiS wepchnąć wojna naród móc osądzać wieszać zdrajca tryb doraźny , wojenny … ? — jakby brakować kat wolny , czas …",negative
"czy obawiać , że Pis zająć pierwszy miejsce zgarnąć premia + koszmarny koalicja Polska konfą trzeci kadencja ? weźmuecie sumienie ? Postawcie szala ew . decyzja wspólny lista : -kilka głos mało opozycja - -czy wygrana PiS ?",negative
gospodarka rząd PiS,neutral
"zdanie niemiecki media PiS bronić Polska urojonymi zagrożenie , na przykład . Rosja . …",negative
nie dać nabrać faryzeusz . ten zabrać wolność daleko próbować robić ter …,negative
"to sam mówić być , widzieć być menu danie 46 złoty , niedawno kosztować 24 . i pitolenie knajpiarz , prąd …",neutral
"i dobrze , wystarczyć panoszeć pisowski wieprz . Sakiewicz opasły knur pis …",neutral
trzeba wspierać niepelnosprawny spotkanie taki . PiS zrobić materiał czas wybory .,neutral
no wiedzieć maszerować wczoraj ulica Warszawa Kraków . kasa NSZZ solidarność zasilać wiec PZPR PiS,neutral
"sytuacja rolnictwo trudniejsza . rolnik tracić polityka rząd PiS UE . rynek zalewać ukraiński zboże , a …",negative
"nie bylem wkurzony PO , mieć być trochę nieudaczniek ( zwłaszcza odejść Tusk Bruksela ) . z Lewica zupełnie droga , czul pismo nos , samodzielny rząd PiSu srogi . Spodziewałem cyrk , taki PiS zafundować",negative
"pan Kaźmierz . jaki PiS program naprawa finanse publiczny kolejny kadencja ? bo chyba "" ten Niemcy , zły Tusk "" , wasz jedyny element kampania ? mieć pomysł , naprawić , prawda ?",negative
PILNE PIS robić zamach wybory,negative
"niestety , zrozumieć konsekwencja mieć trochę wiedza ekonomiczny ogólny . Wyborców PiS interesować , chcieć teraz .",negative
to udać - JP Zełeński przykryć świństwo zgotowany PiS,negative
"a dodatkowo spotkanei Tusk połowa człowiek "" podstawiyć "" - podobnie spotkanie PiS . . . PS kiedy , tchórz , staniesz wreszcie sąd ? brak ty ikry ? bo mieć kręgosłupo , wiadomo , jajo ty brakować . . .",negative
od zobowiązować zaprzestać krytykować partia opozycyjny ( nie dotyczyć konfederacja ) . ufamć wygrać wybory musieć pamiętać wróg . wróg PIS . kochać kraj zrobić zniszczyć # OpozycjaWygra,negative
tu nic wyjaśniać rzecz wiadomy prowokacja PIS co pewny,neutral
"miłego wieczór , naturalnie zwykle omijać łuk PiS parszywy sprzymierzeńca",neutral
"to prawda . polski inflacja początek PiS inflacja , który nałożyć covid putinflacja , źródło dwa d …",neutral
# DagmaraAdamiak aktywistka ZSMP PRL atakować # PiS tuszować młodzież fakt # TVN Agenturalna przeszłość obecny …,negative
"dlaczego permanentnie kłamać ? nie poszukać pomoc specjalista ? jak kłamstwo milion wczorajszy marsz , wyssać unurzany PiS kupa , paluch , Tusko . . .",negative
jak to ? przecież promować pan prezydent Duda wieś gromadnie pis zagłosować . Tusk 9 rok rządzić . pan jakiś zaćmienie mieć ?,negative
"rząd PiS 200 tysiąc ponadwymiarowy zgon , upadek państwo prawo , ruina gospodarczy , bezprecedensowy złodziejstwo , i …",negative
"Mobilizacja byc , a PiS sfalszować wybory .",neutral
od PiSu plaga Racz chronić pani . twórca największej inflacja 18 % straszyć móc by duży dzban władza PiS,negative
"o sądzić głosować skoro wygrać prawica , chyba mówić PIS ?",neutral
"coraz ładniejsze kwiatek nagonka Trzaskowski . akcja "" trzask "" Made in Jacek ozdoba solidarny Polska / PIS . # NieOddamyWars …",negative
Jebac pis,negative
powtarzać mit . 5zł/ dostawać dziecko dekada wczesnie roznoszeć …,neutral
"problem „ wymiar sprawiedliwość ” Polska taki , PiS zmienić niedemokratyczny skandaliczny opozycja widzieć ( eć ) powód zmieniać .",negative
PiS pewnie wydać zlecenie dewastacja pomnik . tak wygrywać wybory . kaczka nakręcać hejtu mały hmm paluszek .,negative
"bojć się , jesli USA chcieć kupić ORLEN energetyka PIS sprzedać ? sprzedać . . . :)",negative
"na czekać . i 100 % . i wielki nadzieja , Wy również . Wyjdźmy . Pokażmy sprzeciw ! ! ! "" w czerwiec wielki marsz Warszawa . Wyjdziemy ulica . być strajk oszukanych PiS """,neutral
"problem to , człowiek kwalifikacja bezrobotny piastować PiS funkc …",negative
"Kaziowi płacić stoczni , późno sprzedawać „ okazyjny cena ” towarzysz Donbas . Zapytaj Usmanowa . teraz PiS płacić stoczni ( zabraknąć ) , płacić Lotosach Orlenach .",negative
"stary porzucić stanowisko wka premier do spraw . bezpieczeństwo RP wojna granica , zagrożenie str …",neutral
"Terlecki wygadać . przyznać się , PiS korumpować poseł ? # PiS&amp;lt;NigdywięcejPiS # SilniRaz # wieszwiecej",negative
"Nieświeże kremówka , przechowywać lodówka , podać pasażer Pendolino „ upamiętnić JP2 ” , świetny poka …",positive
. Chełmnie bezlitośnie obnażać niekompetencja sprawa rolnictwo . PiS szermować hasł …,negative
KG policja generał . Jarosław Szymczyk usługa polityk PiS ? potwierdzać teza zawrzeć ostatni materiałó …,neutral
"niestety , pełny obawa oto , zobaczyć 2 dzień . dotychczasowy doświadczenie utwierdzać przekonanie , ż …",negative
"Ataki pis aranżować , zapis kamera ?",neutral
sojusz nadzieja opozycja opozycja szansa wygrać wybory trzymać wariant . w spos …,neutral
Wypierdalaj kłamliwy pijaczko bełkot . gdzie podziać 63 miliard złoty sprzedaż prawo emisja Co2 PiS . Pierdolone złodziej,negative
"Kamyczek opozycyjny ogródek . mdli słyszeć ciągle powtarzać wywód : PiS kradnieć , przygotować pan …",negative
"3 . to sprawiać , DT podejmować próba skręt lewo , raz dostawać zalew dobry rada , błąd licytować PiS rozdawnictwo . i część - imho spory - elektorat narracja trafiać . 4 . bardzo chcieć , Tusk utrzymać kurs",negative
"taki czas ... kiedy PiS chować "" świętość "" JPII ... jeszcze kadencja sekta kościół połączyć PiSem jeden …",neutral
realny wzrost wynagrodzenie minimalny PiS wynieść nieco % . dużo ? za czas PO pensja minimalny wzrosł …,neutral
to rzecznik prawo dziecko ? nie to aparatczyk PiS,negative
i prawidlowoim PiS zjebów dobrze,negative
PiS ukraść normalność . Jedyną nadzieja # opoztcjaWygra,negative
przecież rządzić PiS .,negative
departament stan USA przedstawić raport stać praworządność przestrzegać prawo człowiek Polska . i być …,neutral
"Balcerek boj , PIS sprzedać LOTOS sprzedać Orlen PGNiG grosz Amerykan .. wszystko swój czas . . .",neutral
3 blok opozycja dawać bezpieczny większość rządzić przyszły kadencja osłabiać PiS Конфедерацию …,negative
