title,rate
nie_wiedziec wiedziec chlop najwiecej postkomunista sb_kow pis !_! tak margines byc byc czas poprzedni rocznica jp2 klamcy_hipokryt ! kaczastrof,-1
droga pis ie_! czy wiedziec kasa_kpo slynny_770 miliard_1/3 finansowac_niemiec ?_krzyczycie repara,-1
zaraz pis rzucic czyszczenie pomnik ! moi dziadkowie opowiadac komuna ub organizowac podobny prowokacja !,-1
czy polak chciec_ukrpolu ?_zelensky polska ! skrajny_lewica szykowac_kolejny atak_jpii morawiecki pis zwiekszac defi,-1
poniewaz pis doprowadzic kaczastrofa opozycjawygra,-1
jezeli dadza rada pis stracic mnostwo glosow wies,-1
i mowic ? zwykla popierdolka panstwo pis kaczyzm swobodnie bredzic tt nikt aresztowac,-1
strasznie pis upodlic obnizac ubecka emeryturka wyczekuje powrot po wladza wyrownanie obnizyc_swiadczenie uzbiera milon zloty a nalezec sie myslec pan latwo denuncjowac rodzina_znajomy udawac przyjaciel niszczic zycie ?,-1
policja_zaczac nachodzic_rolnik dom_stwierdzic media_m kolodziejczak_to zbierac_haek ocenic n,-1
problem pis po medialny_marginalizacja osoba_intelektualnie suwerenny_zalew banal_nijakosc otwierac prze,-1
niech_zyc pis niech_zyc niech_zyc,1
myslec jan_pawel ii byc_by ostatni osoba_nawolywac marsz_przykry pis wykorzystywac papi,-1
pis balcerowicz_osmieszyc doprowadzic pomieszanie zmysl,-1
partia_opozycyjny powod_partykularny interes_mikrolider zatracic_elementarny instynkt_samozachowawczy a kanalia,-1
pisowski_kurwa wycierac bezczelny morda jan_pawel on pis dzisiaj wystepowac by przeciwko_przestepca skurwysyn wladza,-1
napieprzajac_oslep jp2 katolik_kk robic_wszystko doprowadzic 3_kadencja rzad pis to_woda metr,-1
nie pejo ziec krol korwin dawny swidnik wspolrzadzi pis,-1
a szkolic pis pogonic,-1
wprawdzie wlasciciel twierdzic atak_papiez sluza pis pracownik inny,-1
najgorsze sroda pis zdazyc obiecac rolnik,-1
pis przegrywac_miotac groteskowy_narracja desperacja_zaczynac oblewac_pomnik urywac_lusterkum samochod,-1
czy polak chciec_ukrpolu ?_zelensky polska ! skrajny_lewica szykowac_kolejny atak_jpii morawiecki pis zwiekszac deficyt_budzetowy donejty zywo ! prowadzic start program godzina_20 00 link,-1
pis szykowac_sfalszowac wybory jezeli_zrobic wyjsc_ulica przepedzic_a sie,-1
lewica_pomagac drobny_przedsiebiorca nienawidzic pis uproscic_podatek komplikowac wielk,-1
to sam pis zobaczyc dzien wybory,-1
lis pierdolic to pis organizowac_marsze jesli jestescie_przeciw spoleczenstwo co oczekujecie,-1
nie mowic po zniknac_scena zniknac po_rozumiac tlusty_kot rozsiadle_fotel sejmowy przekonany,-1
pis wykonczyc polski_rolnictwo,1
jaki podatek ? no_chyba rozmawiac wasz cichy_koalicjant donaldzie tu fakt donald podniesc_podatek rzad pis obnizyc,-1
od_zobowiazowac zaprzestac_krytykowac partia_opozycyjny nie dotyczyc_konfederacja ufamc,-1
ej no chcecie powiedziec pis pompowac konfederacja swoj przybudowka ? wow no szok lis madry_glowa strona pelo powiedziac kon_trojanski !_! !,-1
niemiecky_prasa grozic_jaroslaw kaczynski_wiezienie berliner_zeitung sugerowac_przegrac wybory pis si,-1
1_maj 2004 pamietac radosc wejsc do dwa rok pozno pakowac byc plecak studia francja ramach program e,1
to byc_by totalny granda pis glosowac_ustawa 2016r,-1
polityk po bac mowic_wprost to pogarda_patrzec zwykly_czlowiek autorytety_medialny jednak,-1
czy pis wepchnac_wojna narod moc_osadzac wieszac_zdrajca tryb_dorazny wojenny ? jakby bra,-1
ale polak dokonac swoj wybor ponizac kazdy_krok wyborca pis,-1
glupos but 30_rok bylem kosciele glosowac pis,-1
nie glosowac pis !,-1
oligarchia pis doi polak !_! ! drozyznapis wykonczyc,-1
to tusk zasluzyc polska tak musiec ukrasc_pieniadz ofe zblizac konstytucyjny prog pederasc caly lgbt zagrozenie prawo_kobieta pis pis naprawde konserwowac uklad poczekaj konfa strac_strac sie,-1
zamiast miec_klotnie ksztalt_list kpinya_lider lider_nienawisc jeden elektorat drugi dart,-1
to co wzywac dokopac ? to najpierw kopnac pis ruszac ? pozwyciestwopis,-1
dodac franciszkanska_3 efekt widac sondazachy ulica jesli holland robic taki film planowac premiera wybory wiedziec sadzic czy pozyteczny_idiota ? a pis pani holland pegasusem szantazowac_?,-1
posel po ujawnic ofiara_pedofil dziecko poslanka_po dziennikarka_tvp probowac uciszyc wszystek media kraj powtarzac posel po powiedziec no ewidentnie wina tvp pis wszsytki kaczynski ! via,-1
a pis oszukac nigdy wierzyc byc slowo,-1
zenujacy chlystku byc co prezentujec wyszczekanie robiec zadyma popierales pis madrzejsi ciebie wiedziec co skonczyc pouczajyc krytykuj miec co chciec byc,-1
pis odniesc_niezaprzeczalny sukces_szczujnia wmowic_prosty czlowiek dt_ko wybork_zl mozna,1
wynik_sondaz zaskakowac_nikt niemal_doslownie nikt wierzyc_wiadomosc tv,1
u matka zaczac jebac pis chyba_zaglosowac 2015 skonczyc byc 18_rok 500_plus zalapac zaczac xd,-1
pis zrobic wiele oslabic autorytet_jpii do wybory zniszczyc calkowicie co tkna,-1
strach_pomyslec jaki inflacja 2023_rok skoro glapinski przyznawac podwyzka powyzej_inflacja pisinflacja interes glapinski morawiecki obligacja rzad pis wielki wplyw_budzet kaczastrof,-1
ostatnio_wysypac powiedziec 3_kadencja chodzic to wprowadzac pis zmia,-1
to dzieki rolnik pis wiekszosc rolnik glosowac on ter szukac_winny ? ? ?,-1
i wyjsc pis worek wiec jeb pisowski potworek,-1
szef pis jaroslaw_kaczynski premier_mateusz morawiecki_niektory minister_musiec obawiac_wiezienie twierdzic,-1
w 2016 telefon_zaufanie musiec zasponsorowac pilkarz pis odmowic oplacic tysiac dzialac w 2017 kolejny rok skladac czlowiek chociaz rpd budzet wzrosnac 50 byc dno wasz bezczelnosc ?,-1
pis level of takt dobry wychowanie,1
vel sek chlop byc opozniyc sukces ? jak pis bierzecie kasa swoj_beznadziejny durny_polityka gospodarczy europejski swoj_inteligencja nadazac_inflacja pis patologia szaber !_!,-1
w tvp nachalny_propaganda pis w tvn nachalny_propaganda po,-1
dzisiaj_aparat wladza nowy_ustawa zmiana_kodeks wyborczy propaganda_wyciszac afera pis,-1
ciekawy byc czy glosowac pis konkretny powiedziec !_! ? myslicie odpowiedzic prosty pytanie !_! ? moze 500_plus besc odpowiedzia ! ? rekordowy_inflacja wysoki emerytura zabojczy cena !_! ? co qrwa !_! ? dobrze kolano rozaniec zapierdalac pisem !_!,-1
ponizszy_reklama przeznaczyc_czlowiek silny_nerwach byc dowod to_gangrena antypolonizm,-1
czy okazja_rocznica katastrofa_smolenski pis rozdawac_pasazer samolot_lot miniaturka_wrak tupolewo,-1
ej_banderowski pacholek_wincyj zatrutego_zboze gmo_banderland sprowadzic ! ten zboze nie dawac zw,-1
po_siedem rok_rzad pis byc naprawde_niczym wolny_gotowac zaba_juz mniej_rzecz dziwic zas,-1
ale wykluczac drugi pis podpisac unia wymyslic kazac wdrozyc moskwa wymyslic podpisac sam czlowiek naprawde jestescie_taki glupi ? czy zaslepiic ?,-1
dude pis wspierales_po rzucac ! z_faszyst miziac_ty k,-1
czy pis wepchnac_wojna narod moc_osadzac wieszac_zdrajca tryb_dorazny wojenny ? jakby brakowac kat wolny czas,-1
czy obawiac ze pis zajac pierwszy_miejsce zgarnac premia plus koszmarny koalicja polska konfa trzeci_kadencja ? wezmuecie sumienie ? postawcie szala ew decyzja wspolny_lista kilka glos malo opozycja czy wygrana pis ?,-1
zdanie_niemiecki media pis bronic polska_urojonymi zagrozenie_na przyklad_rosja,-1
nie_dac nabrac_faryzeusz ten zabrac_wolnosc daleko_probowac robic ter,-1
sytuacja_rolnictwo trudniejsza_rolnik tracic_polityka rzad pis ue_rynek zalewac_ukrainski zboze a,-1
nie bylem wkurzony po miec byc troche nieudaczniek zwlaszcza odejsc tusk bruksela z lewica zupelnie droga czul pismo nos samodzielny_rzad pisu srogi spodziewalem cyrk taki pis zafundowac,-1
pan kazmierz jaki pis program naprawa finanse_publiczny kolejny_kadencja ? bo chyba ten niemcy zly tusk wasz jedyny element_kampania ? miec_pomysl naprawic prawda ?,-1
pilne pis robic zamach wybory,-1
niestety zrozumiec konsekwencja miec troche_wiedza ekonomiczny ogolny wyborcow pis interesowac chciec teraz,-1
to udac jp zelenski przykryc swinstwo zgotowany pis,-1
a dodatkowo spotkanei tusk polowa czlowiek podstawiyc podobnie spotkanie pis ps kiedy tchorz staniesz wreszcie sad ? brak ty ikry ? bo miec_kregoslupo wiadomo jajo ty brakowac,-1
od_zobowiazowac zaprzestac_krytykowac partia_opozycyjny nie dotyczyc_konfederacja ufamc wygrac_wybory musiec pamietac wrog_wrog pis kochac kraj zrobic zniszczyc opozycjawygra,-1
dagmaraadamiak_aktywistka zsmp_prl atakowac pis tuszowac_mlodziez fakt tvn_agenturalna przeszlosc_obecny,-1
dlaczego permanentnie klamac ? nie poszukac pomoc specjalista ? jak klamstwo milion wczorajszy marsz wyssac unurzany pis kupa paluch tusko,-1
jak to ? przeciez promowac pan prezydent_duda wies gromadnie pis zaglosowac tusk 9 rok rzadzic pan jakis zacmienie miec ?,-1
rzad pis 200_tysiac ponadwymiarowy_zgon upadek panstwo prawo_ruina gospodarczy_bezprecedensowy zlodziejstwo i,-1
od pisu plaga racz chronic pani tworca najwiekszej inflacja_18 straszyc moc_by duzy dzban wladza pis,-1
coraz_ladniejsze kwiatek_nagonka trzaskowski_akcja trzask_made in_jacek ozdoba_solidarny polska / pis nieoddamywars,-1
jebac pis,-1
problem_wymiar sprawiedliwosc polska taki pis zmienic niedemokratyczny skandaliczny opozycja widziec ec powod zmieniac,-1
pis pewnie wydac zlecenie dewastacja_pomnik tak wygrywac_wybory kaczka nakrecac hejtu maly hmm paluszek,-1
bojc sie jesli usa chciec kupic orlen energetyka pis sprzedac ? sprzedac,-1
problem to czlowiek kwalifikacja bezrobotny piastowac pis funkc,-1
kaziowi placic_stoczni pozno sprzedawac okazyjny_cena towarzysz donbas zapytaj usmanowa teraz pis placic_stoczni zabraknac placic lotosach orlenach,-1
terlecki_wygadac przyznac_sie pis korumpowac_posel ? pis amp_lt nigdywiecejpis_silniraz wieszwiecej,-1
nieswieze_kremowka przechowywac_lodowka podac_pasazer pendolino_upamietnic jp2_swietny poka,1
chelmnie_bezlitosnie obnazac_niekompetencja sprawa_rolnictwo pis szermowac hasl,-1
niestety_pelny obawa_oto zobaczyc 2 dzien_dotychczasowy doswiadczenie_utwierdzac przekonanie z,-1
wypierdalaj klamliwy pijaczko belkot gdzie podziac 63 miliard_zloty sprzedaz_prawo emisja_co2 pis pierdolone zlodziej,-1
kamyczek_opozycyjny ogrodek_mdli slyszec_ciagle powtarzac_wywod pis kradniec_przygotowac pan,-1
3 to sprawiac dt podejmowac_proba skret lewo raz dostawac zalew dobry rada blad licytowac pis rozdawnictwo i czesc imho spory elektorat narracja trafiac 4 bardzo chciec tusk utrzymac kurs,-1
to rzecznik prawo dziecko ? nie to aparatczyk pis,-1
i prawidlowoim pis zjebow dobrze,-1
pis ukrasc normalnosc jedyna nadzieja opoztcjawygra,-1
przeciez rzadzic pis,-1
3_blok opozycja dawac_bezpieczny wiekszosc rzadzic_przyszly kadencja_oslabiac pis konfederatsiiu,-1
porawka juz starac konfy popierac od 2020 beton beton baran baran po pis konfederacja kazdy_inny parti biorac udzial zaklamanych wybory pogorszyc swoj sytuacja musiec zaczac swoj wies miasto powiat,-1
miec duzy_szansa wygrac pis wymagac_wspolpraca zgoda opozycja ! wspolny_lista,1
to pewno zrobic nie pojsc przeciez_niemozliwy cos_ty wystraszyc_sie cytaty na,-1
pis zdrajcy pozdrawiac,-1
odjanipawlajt powodzenie zyczyc pracujcie sondaz pis byc za,1
slusznie pis plucie wojtyle szargac spede polityczny odpowiedziec,-1
jak pojsc noz wybory po powiedziec niewazny kot czarny bialy wazny lapac mysz wojna pis wojna cywilizacyjny kolejny potyczka stawka zus z dwojga zly wolec_by byc zyc wolny / biedny grecja bieda wegrzech orban,-1
niestety_caly rozciaglosc_zgodzic tresc_tweet to_niewiarygodny polak obecnos,-1
droganiedzielapis_wiele czlowiek stac_podstawowy produkt_swieto a pis maszerowac_obrona jpii tak,1
chyba 2015 miec byc pech biuro pelnomocnik d_/ s budowa elektrownia_atomowy pelnomocnik brac miesiecznie solidny kasa personel suto oplacac i co ? gowno elektrownia_atomowy ta zbudowac pis !,-1
pis wspolnie obzydzac polakom_postac jpii,1
jesli pis wygrac koniec prawo_kobieta koniec_wolny media koniec_wolny sad_koniec wolny_wybor styl_zycie koniec krytyka wladza to nie moze zdarzyc opozycjawygra,-1
a_potem kredyt_zero procent nastepnie babciowy polski_rodzina nadal moc kupowac mniej jedzenie tak polityk jestescie najwieksza zakala kraj niezaleznie pis po,-1
ryzu wincyj ryz pis nastepce_duda polakom_ryz gardlo stanac,-1
pan skonczyc ten jeden_lista tylko prosic_pamietac rzadzic wygrac liczyc ile wejsc parlament mandat miec opozycja przyszly_sejm wygrac miec pis rozumiec zdobedziec tyle glos,1
nie taki dzial pis przekrecic_wybory opozycjawygra,-1
moze prawicowy ale faszystowski jaki pis,-1
przyjechac barak powiedziec reset_rosja demokratyczny przyjmiemy nato_koniec historia ! to kupowac bron ? za pis rzadzic 2014 wojna trwac gowno zrobic obudzic 24_luty to gorszy ?,-1
mk mowic jebac pis,-1
to_niesamowity tvn_rozpoczac antypapieski_hece to zabrac_temat agorze,1
totalny_zenada najwieksi_przegrac wybory_prezydencki zero_refleksja wam_wystarczac sejm_popychadc byc_onuca pis i_szczekac jestescie_totalny dyplomatol_pro pis_owski robic_rozlam opozycja,-1
pani_posel marta wcislo anielski cierpliwosc arogant rzad klamca pis solpol brawo,-1
pis zrobic jp2 papier_toaletowy a kosciol milczec,-1
od 3_kwiecien funkcja_tracic 95_sposrod 100_komisarz wyborczy caly_polska nowy_komisarz czlowiek pis ziobry,-1
haslo pis bliski_wybory krasc klaskac opozycjawygra,-1
zmierzec przeszlosc wojtyly nastapic oby wygrac_wybory nie_badzmy polak glupi szkoda wygrajmy wybory zmienmy wladza reszta znaczenie pis wygrac,1
pis szczujnie_ogrom kasa_wymieniac komisarz_wprowadzac utrudnienie_glosowac granica ale tak opozycja,-1
w_zeszly pis orlen zarobic polski kierowca uwaga 100_miliard zloty 100_miliard zloty to dzis,1
nawolujacy walka_zgnila elita_zmiana system_typowy pis /_trump /_alt right,-1
moc_sprawczy 2 rzecz polecenie jankes grzecznie wykonywac nie polski rzad szantaz ukrainski sluzba tasma podkarpacie elita pis zabawiac nieletni ukrainek,-1
formula pis smolensk_wyczerpac robak_mieso sam_osmieszyc jp2_zaskoczyc co,-1
opowiedz tusk po osiem_rok rzad zrobic sprawa udawali problem tak_samo wyborca po udawac problem_pedofilia zaczac pis przejac_wladza,-1
pis budzet polska,-1
29 po 15 pis,-1
200_tysiac zloty_minuta 12_milion zloty_godzina 24_godzina doba_tak zadluzac pis dlug polska_wzrosnac koniec rok,-1
jesli miec wolnosc praworzadnosc szczelny system finansowy dobry system szkolnictwo rozwoj gospodarczy i_tak dalej policzalny kasa to czlowiek rozumiec zaden rzad historia ukrasc tyle czlowiek pis okradl prawo pieniadz wolnosc,-1
miarkuj mlody_czlowiek ktos kiedys postawic_zarzut karny patroc obronca chrzescijanstwo pospolity chamstwo abstrahujac od to robic przysluga pis wierzacym osmieszac dajec pozywka poza szkodzic sumienie,-1
kaczynski_nienawidzic prezydent_wielki miasto zrobic_wszystko przejac_samorzad pieniadz,-1
byc tez fchoooj idiot pis,-1
w wybory 2018_rok wygrac gdansk adamowicz pokonac jaroslaw walesa po k plazynski pis,1
widziec_propagandysta tvn_autor paszkwil_jan pawle_ii taki_sam idiotyczny_przekaz elektor,-1
dac_spokoj ! nie warto wogole zwracac_uwaga sondaz caly zeszly_tydzien walkowac powod socjalny zapowiedz ko wyborca_uciec konfy wcale_zdziwic pis realnie kolo 20,-1
dawac wladzy rzadzilo sprzedawalo polske xd totalnie sprawdzilo goscie razem pijac wodke pis po czlowiek_glosujak opozycja cieszac zmienic glosujac opozycja xd,-1
wielki post reszta klaskac rubik pis stracic_wladza,-1
ale pis zadowolony dumny pych_kroczyc upadek na_szczescie,1
to znaczyc michal wina_tusk ? gnojku pis glosujesz wino lezec opozycja !_! spierdalaj obchodzic,-1
za rok koniec dotrzeec morawiecki oddac nasz_suwerennosc bruksela pis ogole przetrwac otrzezwic narod morawiecki,-1
gosc tiktoki przejechac klamstwa bosak dotyczyc_aborcja glos konfederacja glos na,-1
a okradaniem panstwo pis wzamian glos bielan ?,-1
czy zaliczacie konfederacje demokratyczny_opozycja ? scenariusz gorszy pis wybory mial_wiekszosc sejmie wyobrazcie dzialo pis rzadzeniu musial podeprzec konfederacja,-1
pis nastepce_duda polakom_ryz gardlo stan !,-1
? cena isc_gora pis sprzedac_drewno cena tarcica wzrosnac_100 procent pozostaly material budowlany podobnie,-1
ale realizywac zalozenie fitfor55 zniszczenie rolnictwo miec produkcja_mieso hodowla rolnictwo unia wycinac rozny metoda pis realizowac plan likwidacja produkcja rolny polska mieso_nabial sztuczny fabryka pochodny rolnictwo,-1
za_rzad pis polska polak czarny kaczastrof,-1
zostaw polska spokoj opozycja przegrac_wybory z_caly serce pis przestac_rzadzic szkodnik ty kukiz petru miec,-1
byc stan kleska zywiolowy zwac pis kaczastrof,-1
pis solidarn_polski probowac_obwiniac opozycja donald_tusk w krew_weszlo klamstwo_obarczac odp,-1
nie tlumacz debil zrozumiec pedofila wszedzie pis startowac_list aktorzyna lewicy konfa szkola klub kosciol_katolicki systemowy obrona wszedzie indziej trafiac reka policja zaden zwloki,-1
szydlo stwierdzic zjednoczona_prawica wygrac tylko wspolnie pis solidarna_polska stan zwyciezyc,1
zaskakujacy_wynik sondaz_ws wiadomosc_tvp nawet_czesc wyborca pis uwazac,1
polskawies pozno obudzilisc ? agrounie wies rolnik pis,-1
pis falszowac_wybory wygrac wzglad poczynac pseudo_opozycja,-1
jedynie pis sfalsziwac_wybory koalicja stworzyc holowni kosiniakiem konfa,-1
atak_siedziba radio_szczecin atak_pomnik jpii atak_biuro poselski_parlamentarzysta pis atak samoc,-1
kaczynski_morawiecki ziobro zdeterminowany zeby tusk_trzaskowski wybory wsadzic krata prawica bac_przegrac wyborach odpowiedzialnosc zrobic polska ze gotowi nowy przestepstwo byle_wygrac nie pis,-1
zgadzac_ty nalezec jebac pis,-1
w_czerwiec wielki_marsz warszawa_wyjdziemy ulica byc_strajk oszukanych pis,-1
tylko pis krok wstecz precz_komuna,-1
zwolennik_lewicy papiez_bronil pedofili_zwolennik ko_bez przesady_nie wiedzial_poza tym_wielki polak prawda zwolenn,-1
a pis wolnosc dobrobyt,-1
wielki_obchod smierc_janpawelii przykrywka pis wykorzystac_dzien dobrze_przykryc dzisic,-1
pis przestepca po wiekszosc postawic_zarzut,-1
pis zrobic inflacja_0 jakis 6_milion bezrobotny sprzedac polska lacznie lasa co problem tylko cel byc kolonia niemiec chciec tusk,-1
ja_wiedziec z adwokacy klamc niektore klamstwo przesada wystarczyc ogladnoc relacja tvn ktora stacja przyjazny pis,-1
jezeli pis przegrac_wybory duzy zasluga swiszczypec,-1
75 tlum dzialacz pis zwiezieni caly kraj,-1
pis wsadzic_swoj pgz_lucznik modelowy_przyklad to_zjednoczona prawica_obsadzic zbrojeniowka_swoj ludz,-1
pis pochwalic dupiarz chocby usmiechniety tusk wykrzywic odczekac pochwalic tusk przewyzszac dupiarz wzrost wkolo macieju gryza nawzajem,-1
pis mafia gdzie demokracja ?,-1
niezla zatem jesien_sredniowiecze pis urzadzic,1
co_znaczyc opozycja pewno_zaden opozycja to zdrajcy grac_iii kadencja mafia pis,-1
czuc_powiew zmiana_donald trump_ktory rodzic pis kibicowac_postawic zarzut_myslec,-1
skoro plywac szambie musiec argument wybory piekny haslo zlodziejstwo_klamstwo normalny popierac ? po smietnik pis piedestac ? jeden_drugi zaslugiwac_dobry,-1
i_zdrajca pis glosowac robic,-1
nastroj wiekszosc czlowiek zle cud pis przegrac_wybory,-1
czuc_powiew zmiana_donald trump_ktory rodzic pis kibicowac_postawic zarzut_myslec kwestia pojawic wybory_opozycjawygra,-1
polexit granica_mozliwosc pewnikiem kazdy slowo w,1
krajobraz_rzad pis pusty_lokal uzytkowy_padac maly_sklepik padac_usluga maly_rzemioslo drozyznapis_zabijac miec,-1
w sprawa_ukrainski zboze pis kolejny_popelniac sam_blad bagatelizowac_problem pozbawiac_czlowiek dochod rozdac,-1
bo niezalezny sluszny niezalezny po posluszny pis,1
dobry_imie sam obronic nie to zalezec pan donald pan miras a mozna zaszkodzic odkad pis dojsc_wladza kk polska zle oczywiscie pisac inaczej szczegolnosc swoj,-1
srodowisko pis wyobrazenie srodowisko rolnik efekt ? szczecin blokowac 20 marzec traktor srodowisko 2/3 glosowac pis pewnie glosowac zalatwiac porachunek wladza paralizuc miasto pis glosowac nigdy,-1
wszystko zmienic_wymagac czas taki_balagan kazdy_dziedzina c,-1
pis przynajmniej szczerze kupowac wyborca prosty_chcecie sciagac podatek,-1
nikt wiedziec co opozycja raza program_spoleczny pis odwrotnie dadzic ludzie wiecej,-1
skandaliczny_pisowski zmiana_prawo wyborczy_uderzac demokracja polski wyborca glosowac_granica w,-1
szydlo_wywiad powiedziec ze kolejny_kadencja pis pozwolic_dokonczyc zmiana polska_uczynic niemozliwy cofni,-1
jak_mowic prawda wg ciebie kobieto wyprac_mozg ? ? !_! to tvp_info wypierac ludzie mozg mowic_prawda poczynani wladza pis rzucac_oszczerstwo opozycja !_! !,-1
niech powiedziec_obawa sfalszowanie_wynik wybory smieszny_/ bezsensowny_/ na_wyrost pis zrobic_wszystko z,-1
brakuje_nozya siekier_widlo polski_kosciolach 11_lipiec wolyniu_i katolic,-1
naprawde widziec_ratunek kraj pis wygrac_wybory 3 demokracja_ue nastepny_wybory byc,1
uzytkownik_spod tag_reparationsforpoland glownie_ruski dziadostwo_ledwo pisac_polsko ! o_dziwno wspierac p,-1
pis prawdopodobnie partia najwyzszym wynik utworzyc_rzad skoro wiekszosc_parlamentarny kto inny,1
co zrobic usunac pis wladza ? po_prosty trzeba kopnac dupa !,-1
caly opozycja trabic jeden traba melodia wygrywac przekaz wszyscy walic pis kacz kuper,-1
pkw_powolac komisarz_wyborczy neosedzia_popierac obecny_wladza to oczywiscie_oburzajacy problem ten,-1
propaganda pis prymitywny,-1
moze tak poczatek pis pochwalic swoj program ? nigdzie moc_znalezc,1
matko bosko czestochowsko pis ty oszukac ? ale ? konkretnie,-1
tepaki pis byc winien pandemi zaatakowac ukraina bog miec fajny pomysl taki smiec jebac trzeba desperatem jebac pies,-1
a zgodnie_nauk jpii_oskarzac ktos_niszczyc pomnik_dowod wina ? a dowod ni,-1
komuna wierzyc rzadzic_wiecznie ! co gorsza czlowiek wyobrazac_siebie wladza moc zmienic ! pis przeminac musiec zmobilizowac zawalczyc ! opozycjawygra !,-1
to pro prosty partia znalezc siebie byc hiperdemokratyczny myslec lojalny wobec swoj partia wybory czesc zostac przekupiic pis czesc po podobnie kukiz 2/2,-1
pis tracic_wladza ? na_nowogrodzki szok_niedowierzac nigdywiecejpis pis silniraz wieszwie,-1
filozofia panstwo pis pigulka rzadowy pieniadz posluchajcie,-1
zeby jasnosc co moj_skromny osoba nie zalezec liczba ktory pokazywac osoba obserwowac co_duzo ten czas spedzic powiadomienie jako ze banowac konto dac_follow pis faszystow pornodebic azjat arabow nie trudzt,-1
pis dawac 700_plus 2 kredyt mieszkanie po 1500 babiowy kredyt_0 zlobek holownia wiecej dawac bo zlikwidowac tt czlowiek brednia_czytac zalosny obraz polski_polityka,-1
pani zartowac ? ! 7_rok wladza pis prokurator_generalny plus min sprawiedliwosc pisac nastoletniy panienka ale pisac stary osoba coz pamiec widac sluszny wiek zrobic,-1
wladza pis flaga wukraina wieszac miejsce gospodarz juz_kryc,-1
trzeci rok sam_pieprzenie dyrdymael_glosuc ja_wydostac zaklety_kreg polityczny_grafomanie dla,-1
zgadzac_kretynie sol_pol wasza_operacja medialny_razem tvpis_powiedzie nie_wytrzecie w,-1
rzad pis czas afera_okradania polak ! dlaczego polak_lubic partia rzadzic ! g placzek,-1
